24234KBFI BFI20180901024010409/01/18 02:40:31  5-MIN KBFI 011040Z 06003KT 10SM OVC039 17/08 A3012 -150 57 0 040/03 RMK AO2 T01670083
24234KBFI BFI20180901024510409/01/18 02:45:31  5-MIN KBFI 011045Z 07004KT 10SM OVC039 17/08 A3012 -150 57 0 050/04 RMK AO2 T01670083
24234KBFI BFI20180901025011109/01/18 02:50:31  5-MIN KBFI 011050Z 04004KT 10SM OVC032 16/08 A3012 -150 59 0 020/04 RMK AO2 SLP197 T01610083
24234KBFI BFI20180901025510409/01/18 02:55:31  5-MIN KBFI 011055Z 05003KT 10SM OVC039 16/08 A3012 -150 59 0 040/03 RMK AO2 T01610083
24234KBFI BFI20180901030010409/01/18 03:00:31  5-MIN KBFI 011100Z 07003KT 10SM OVC039 17/08 A3011 -150 57 0 050/03 RMK AO2 T01670083
24234KBFI BFI20180901030510409/01/18 03:05:31  5-MIN KBFI 011105Z VRB03KT 10SM OVC039 17/09 A3011 -150 60 0 VRB/03 RMK AO2 T01670089
24234KBFI BFI20180901031010409/01/18 03:10:31  5-MIN KBFI 011110Z 07005KT 10SM OVC041 16/08 A3011 -150 59 0 050/05 RMK AO2 T01610083
24234KBFI BFI20180901031511109/01/18 03:15:31  5-MIN KBFI 011115Z 06004KT 10SM BKN041 OVC060 16/08 A3011 -150 59 0 050/04 RMK AO2 T01610083
24234KBFI BFI20180901032011109/01/18 03:20:31  5-MIN KBFI 011120Z 11005KT 10SM BKN041 OVC060 16/08 A3011 -150 59 0 090/05 RMK AO2 T01610083
24234KBFI BFI20180901032511109/01/18 03:25:31  5-MIN KBFI 011125Z 06004KT 10SM SCT041 BKN060 16/08 A3011 -150 59 0 040/04 RMK AO2 T01610083
24234KBFI BFI20180901033011109/01/18 03:30:31  5-MIN KBFI 011130Z 07004KT 10SM FEW041 BKN060 16/08 A3011 -150 59 0 050/04 RMK AO2 T01610083
24234KBFI BFI20180901033511109/01/18 03:35:31  5-MIN KBFI 011135Z 07005KT 10SM FEW043 OVC060 16/08 A3011 -150 59 0 060/05 RMK AO2 T01610083
24234KBFI BFI20180901034011109/01/18 03:40:31  5-MIN KBFI 011140Z 07004KT 10SM FEW046 OVC060 16/08 A3011 -150 59 0 050/04 RMK AO2 T01610083
24234KBFI BFI20180901034511109/01/18 03:45:31  5-MIN KBFI 011145Z 00000KT 10SM SCT046 OVC060 16/08 A3011 -150 59 0 000/00 RMK AO2 T01610083
24234KBFI BFI20180901035013609/01/18 03:50:31  5-MIN KBFI 011150Z 06003KT 10SM BKN046 OVC060 16/08 A3011 -150 59 0 050/03 RMK AO2 SLP197 T01610083 10172 20161 51000
24234KBFI BFI20180901035511609/01/18 03:55:31  5-MIN KBFI 011155Z AUTO 11004KT 10SM BKN044 OVC060 16/08 A3011 -150 59 0 090/04 RMK AO2 T01610083
24234KBFI BFI20180901040011609/01/18 04:00:31  5-MIN KBFI 011200Z AUTO 10003KT 10SM BKN044 OVC060 16/08 A3011 -150 59 0 080/03 RMK AO2 T01610083
24234KBFI BFI20180901040511609/01/18 04:05:31  5-MIN KBFI 011205Z AUTO 00000KT 10SM BKN045 OVC060 16/08 A3011 -150 59 0 000/00 RMK AO2 T01610083
24234KBFI BFI20180901041011109/01/18 04:10:31  5-MIN KBFI 011210Z 09003KT 10SM BKN045 OVC060 16/09 A3011 -150 62 0 070/03 RMK AO2 T01610089
24234KBFI BFI20180901041511109/01/18 04:15:31  5-MIN KBFI 011215Z 08003KT 10SM SCT045 OVC060 16/08 A3011 -150 59 0 060/03 RMK AO2 T01610083
