24234KBFI BFI20180701000010707/01/18 00:00:31  5-MIN KBFI 010800Z VRB06KT 10SM OVC020 16/12 A3018 -210 77 -100 VRB/06 RMK AO2 T01560117
24234KBFI BFI20180701000510707/01/18 00:05:31  5-MIN KBFI 010805Z 19004KT 10SM OVC020 16/12 A3018 -210 77 -100 180/04 RMK AO2 T01560117
24234KBFI BFI20180701001010707/01/18 00:10:31  5-MIN KBFI 010810Z 20006KT 10SM OVC020 16/12 A3018 -210 77 -100 180/06 RMK AO2 T01560117
24234KBFI BFI20180701001510707/01/18 00:15:31  5-MIN KBFI 010815Z 19005KT 10SM OVC020 16/12 A3018 -210 77 -100 170/05 RMK AO2 T01560117
24234KBFI BFI20180701002010707/01/18 00:20:31  5-MIN KBFI 010820Z 20005KT 10SM OVC020 16/12 A3018 -210 77 -100 180/05 RMK AO2 T01560117
24234KBFI BFI20180701002510707/01/18 00:25:31  5-MIN KBFI 010825Z 19006KT 10SM OVC019 16/12 A3018 -210 77 -100 170/06 RMK AO2 T01560117
24234KBFI BFI20180701003010707/01/18 00:30:31  5-MIN KBFI 010830Z 19006KT 10SM OVC019 16/12 A3018 -210 77 -100 180/06 RMK AO2 T01560117
24234KBFI BFI20180701003510707/01/18 00:35:31  5-MIN KBFI 010835Z 17005KT 10SM OVC019 16/12 A3018 -210 77 -100 160/05 RMK AO2 T01560117
24234KBFI BFI20180701004010707/01/18 00:40:31  5-MIN KBFI 010840Z 19005KT 10SM OVC019 16/12 A3018 -210 77 -100 180/05 RMK AO2 T01560117
24234KBFI BFI20180701004510707/01/18 00:45:31  5-MIN KBFI 010845Z 20004KT 10SM OVC019 16/12 A3018 -210 77 -100 180/04 RMK AO2 T01560117
24234KBFI BFI20180701005012007/01/18 00:50:31  5-MIN KBFI 010850Z 19006KT 10SM OVC015 16/12 A3018 -210 77 -100 170/06 RMK AO2 SLP218 T01560117 51003
24234KBFI BFI20180701005510707/01/18 00:55:31  5-MIN KBFI 010855Z 19005KT 10SM OVC019 16/12 A3018 -210 77 -100 170/05 RMK AO2 T01560117
24234KBFI BFI20180701010010707/01/18 01:00:31  5-MIN KBFI 010900Z 20005KT 10SM OVC019 16/12 A3018 -210 77 -100 180/05 RMK AO2 T01560117
24234KBFI BFI20180701010510707/01/18 01:05:31  5-MIN KBFI 010905Z 21005KT 10SM OVC019 16/12 A3018 -210 77 -100 190/05 RMK AO2 T01560117
24234KBFI BFI20180701011010707/01/18 01:10:31  5-MIN KBFI 010910Z 22004KT 10SM OVC020 16/12 A3018 -210 77 -100 200/04 RMK AO2 T01560117
24234KBFI BFI20180701011510707/01/18 01:15:31  5-MIN KBFI 010915Z 18004KT 10SM OVC020 16/12 A3018 -210 77 -100 170/04 RMK AO2 T01560117
24234KBFI BFI20180701012010707/01/18 01:20:31  5-MIN KBFI 010920Z VRB05KT 10SM OVC020 15/12 A3018 -210 80 -200 VRB/05 RMK AO2 T01500117
24234KBFI BFI20180701012511407/01/18 01:25:31  5-MIN KBFI 010925Z 18005KT 10SM FEW014 OVC021 16/12 A3018 -210 80 -100 160/05 RMK AO2 T01560122
24234KBFI BFI20180701013010707/01/18 01:30:31  5-MIN KBFI 010930Z 17005KT 10SM OVC021 15/12 A3017 -210 83 -200 150/05 RMK AO2 T01500122
24234KBFI BFI20180701013511407/01/18 01:35:31  5-MIN KBFI 010935Z 16007KT 10SM BKN016 OVC021 15/12 A3018 -210 83 -200 140/07 RMK AO2 T01500122
24234KBFI BFI20180701014011407/01/18 01:40:31  5-MIN KBFI 010940Z 16008KT 10SM SCT016 OVC021 15/12 A3018 -210 83 -200 150/08 RMK AO2 T01500122
24234KBFI BFI20180701014511407/01/18 01:45:31  5-MIN KBFI 010945Z 17007KT 10SM SCT015 OVC021 15/12 A3018 -210 83 -200 150/07 RMK AO2 T01500122
