24233KSEA SEA20191001024510310/01/19 02:45:31  5-MIN KSEA 011045Z 10004KT 10SM CLR 07/01 A3018 200 65 -700 090/04 RMK AO2 T00670006
24233KSEA SEA20191001025011010/01/19 02:50:31  5-MIN KSEA 011050Z 11004KT 10SM CLR 06/01 A3017 200 67 -700 090/04 RMK AO2 SLP225 T00610006
24233KSEA SEA20191001025510310/01/19 02:55:31  5-MIN KSEA 011055Z 12006KT 10SM CLR 06/01 A3017 200 67 -700 100/06 RMK AO2 T00610006
24233KSEA SEA20191001030010310/01/19 03:00:31  5-MIN KSEA 011100Z 12007KT 10SM CLR 06/01 A3017 200 67 -700 100/07 RMK AO2 T00610006
24233KSEA SEA20191001030510310/01/19 03:05:31  5-MIN KSEA 011105Z 13006KT 10SM CLR 06/01 A3017 200 67 -700 110/06 RMK AO2 T00610006
24233KSEA SEA20191001031010310/01/19 03:10:31  5-MIN KSEA 011110Z 12006KT 10SM CLR 06/01 A3017 210 70 -800 100/06 RMK AO2 T00560006
24233KSEA SEA20191001031510310/01/19 03:15:31  5-MIN KSEA 011115Z 12005KT 10SM CLR 06/01 A3017 210 67 -700 100/05 RMK AO2 T00610006
24233KSEA SEA20191001032010310/01/19 03:20:31  5-MIN KSEA 011120Z 12005KT 10SM CLR 06/01 A3017 200 67 -700 110/05 RMK AO2 T00610006
24233KSEA SEA20191001032510310/01/19 03:25:31  5-MIN KSEA 011125Z 13006KT 10SM CLR 06/01 A3017 200 67 -700 110/06 RMK AO2 T00610006
24233KSEA SEA20191001033010310/01/19 03:30:31  5-MIN KSEA 011130Z 13004KT 10SM CLR 06/01 A3017 200 67 -700 120/04 RMK AO2 T00610006
24233KSEA SEA20191001033510310/01/19 03:35:31  5-MIN KSEA 011135Z 14004KT 10SM CLR 06/01 A3017 200 67 -700 120/04 RMK AO2 T00610006
24233KSEA SEA20191001034010310/01/19 03:40:31  5-MIN KSEA 011140Z 13004KT 10SM CLR 06/01 A3017 200 67 -700 120/04 RMK AO2 T00610006
24233KSEA SEA20191001034510610/01/19 03:45:31  5-MIN KSEA 011145Z 13004KT 10SM FEW200 06/01 A3017 200 67 -700 110/04 RMK AO2 T00610006
24233KSEA SEA20191001035013110/01/19 03:50:31  5-MIN KSEA 011150Z 13005KT 10SM FEW200 07/01 A3018 200 65 -700 110/05 RMK AO2 SLP225 T00670006 10106 20056 53005
24233KSEA SEA20191001035510310/01/19 03:55:31  5-MIN KSEA 011155Z 13005KT 10SM CLR 06/01 A3018 200 67 -700 120/05 RMK AO2 T00610006
24233KSEA SEA20191001040010310/01/19 04:00:31  5-MIN KSEA 011200Z 14006KT 10SM CLR 06/00 A3018 200 65 -700 120/06 RMK AO2 T00610000
24233KSEA SEA20191001040510310/01/19 04:05:31  5-MIN KSEA 011205Z 13006KT 10SM CLR 06/01 A3018 200 67 -700 110/06 RMK AO2 T00610006
24233KSEA SEA20191001041010310/01/19 04:10:31  5-MIN KSEA 011210Z 13007KT 10SM CLR 06/01 A3018 200 67 -700 110/07 RMK AO2 T00610006
24233KSEA SEA20191001041510310/01/19 04:15:31  5-MIN KSEA 011215Z 13006KT 10SM CLR 06/01 A3018 200 67 -700 110/06 RMK AO2 T00610006
24233KSEA SEA20191001042010310/01/19 04:20:31  5-MIN KSEA 011220Z 13006KT 10SM CLR 06/00 A3018 190 65 -700 110/06 RMK AO2 T00610000
24233KSEA SEA20191001042510310/01/19 04:25:31  5-MIN KSEA 011225Z 12006KT 10SM CLR 07/00 A3018 190 62 -700 110/06 RMK AO2 T00670000
24233KSEA SEA20191001043010310/01/19 04:30:31  5-MIN KSEA 011230Z 13007KT 10SM CLR 06/00 A3018 190 65 -700 110/07 RMK AO2 T00610000
24233KSEA SEA20191001043510310/01/19 04:35:31  5-MIN KSEA 011235Z 12007KT 10SM CLR 06/00 A3019 190 65 -700 110/07 RMK AO2 T00610000
24233KSEA SEA20191001044010310/01/19 04:40:31  5-MIN KSEA 011240Z 12006KT 10SM CLR 06/01 A3019 190 67 -700 100/06 RMK AO2 T00610006
24233KSEA SEA20191001044510310/01/19 04:45:31  5-MIN KSEA 011245Z 13005KT 10SM CLR 06/00 A3019 190 67 -800 110/05 RMK AO2 T00560000
24233KSEA SEA20191001045011310/01/19 04:50:31  5-MIN KSEA 011250Z 16003KT 10SM FEW200 05/00 A3019 190 70 -900 150/03 RMK AO2 SLP229 T00500000
24233KSEA SEA20191001045510710/01/19 04:55:31  5-MIN KSEA 011255Z 13005KT 10SM FEW200 04/01 A3018 190 76 -1000 120/05 RMK AO2 T00440006
24233KSEA SEA20191001050010610/01/19 05:00:31  5-MIN KSEA 011300Z 15005KT 10SM FEW200 06/01 A3018 190 70 -800 140/05 RMK AO2 T00560006
24233KSEA SEA20191001050510610/01/19 05:05:31  5-MIN KSEA 011305Z 16004KT 10SM FEW200 05/01 A3018 190 73 -900 140/04 RMK AO2 T00500006
24233KSEA SEA20191001051010610/01/19 05:10:31  5-MIN KSEA 011310Z 16004KT 10SM FEW200 05/01 A3018 190 73 -900 140/04 RMK AO2 T00500006
24233KSEA SEA20191001051510610/01/19 05:15:31  5-MIN KSEA 011315Z 18004KT 10SM FEW200 05/01 A3018 190 73 -900 160/04 RMK AO2 T00500006
24233KSEA SEA20191001052010610/01/19 05:20:31  5-MIN KSEA 011320Z 16004KT 10SM FEW200 06/01 A3019 190 67 -700 140/04 RMK AO2 T00610006
24233KSEA SEA20191001052510610/01/19 05:25:31  5-MIN KSEA 011325Z 14008KT 10SM FEW200 06/00 A3018 190 67 -800 120/08 RMK AO2 T00560000
24233KSEA SEA20191001053010610/01/19 05:30:31  5-MIN KSEA 011330Z 14006KT 10SM FEW200 07/00 A3018 190 62 -700 120/06 RMK AO2 T00670000
24233KSEA SEA20191001053510610/01/19 05:35:31  5-MIN KSEA 011335Z 14006KT 10SM FEW200 06/00 A3019 190 65 -700 120/06 RMK AO2 T00610000
24233KSEA SEA20191001054010610/01/19 05:40:31  5-MIN KSEA 011340Z VRB06KT 10SM FEW200 06/00 A3019 190 65 -800 VRB/06 RMK AO2 T00610000
24233KSEA SEA20191001054510610/01/19 05:45:31  5-MIN KSEA 011345Z 16004KT 10SM FEW200 06/01 A3019 190 70 -800 140/04 RMK AO2 T00560006
24233KSEA SEA20191001055011310/01/19 05:50:31  5-MIN KSEA 011350Z 15004KT 10SM FEW200 05/01 A3019 190 73 -900 130/04 RMK AO2 SLP231 T00500006
24233KSEA SEA20191001055510310/01/19 05:55:31  5-MIN KSEA 011355Z 15005KT 10SM CLR 05/00 A3019 180 70 -900 130/05 RMK AO2 T00500000
24233KSEA SEA20191001060010310/01/19 06:00:31  5-MIN KSEA 011400Z VRB04KT 10SM CLR 06/00 A3019 180 65 -800 VRB/04 RMK AO2 T00610000
24233KSEA SEA20191001060510310/01/19 06:05:31  5-MIN KSEA 011405Z 15004KT 10SM CLR 06/00 A3019 180 67 -800 140/04 RMK AO2 T00560000
24233KSEA SEA20191001061010310/01/19 06:10:31  5-MIN KSEA 011410Z 15004KT 10SM CLR 05/00 A3020 180 70 -900 130/04 RMK AO2 T00500000
24233KSEA SEA20191001061510310/01/19 06:15:31  5-MIN KSEA 011415Z 14005KT 10SM CLR 06/00 A3020 180 67 -800 130/05 RMK AO2 T00560000
24233KSEA SEA20191001062010310/01/19 06:20:31  5-MIN KSEA 011420Z 15005KT 10SM CLR 06/00 A3020 180 67 -800 140/05 RMK AO2 T00560000
24233KSEA SEA20191001062510310/01/19 06:25:31  5-MIN KSEA 011425Z 15004KT 10SM CLR 06/00 A3020 180 67 -800 140/04 RMK AO2 T00560000
24233KSEA SEA20191001063010310/01/19 06:30:31  5-MIN KSEA 011430Z 16003KT 10SM CLR 06/00 A3020 180 67 -800 150/03 RMK AO2 T00560000
24233KSEA SEA20191001063510310/01/19 06:35:31  5-MIN KSEA 011435Z 16004KT 10SM CLR 06/00 A3020 180 67 -800 140/04 RMK AO2 T00560000
24233KSEA SEA20191001064010310/01/19 06:40:31  5-MIN KSEA 011440Z 16005KT 10SM CLR 06/01 A3020 180 70 -800 140/05 RMK AO2 T00560006
24233KSEA SEA20191001064510310/01/19 06:45:31  5-MIN KSEA 011445Z 16004KT 10SM CLR 06/01 A3020 180 70 -800 140/04 RMK AO2 T00560006
